plz_postleitzahl	gemeinde_name	gemeinde_name_mit_kanton	gemeinde_name_mit_kanton2	gemeinde_id_bfs	kanton_name	kanton_name_kurz	kanton_id_bfs	record_count
1000	Lausanne	Lausanne (VD)	Lausanne/VD	5586	Vaud	VD	22	1
1001	Lausanne	Lausanne (VD)	Lausanne/VD	5586	Vaud	VD	22	1
1002	Lausanne	Lausanne (VD)	Lausanne/VD	5586	Vaud	VD	22	1
1003	Lausanne	Lausanne (VD)	Lausanne/VD	5586	Vaud	VD	22	1
1004	Lausanne	Lausanne (VD)	Lausanne/VD	5586	Vaud	VD	22	1
1005	Lausanne	Lausanne (VD)	Lausanne/VD	5586	Vaud	VD	22	1
1006	Lausanne	Lausanne (VD)	Lausanne/VD	5586	Vaud	VD	22	1
1007	Lausanne	Lausanne (VD)	Lausanne/VD	5586	Vaud	VD	22	1
1008	Jouxtens-Mézery	Jouxtens-Mézery (VD)	Jouxtens-Mézery/VD	5585	Vaud	VD	22	1
1008	Prilly	Prilly (VD)	Prilly/VD	5589	Vaud	VD	22	1
1009	Pully	Pully (VD)	Pully/VD	5590	Vaud	VD	22	1
1010	Lausanne	Lausanne (VD)	Lausanne/VD	5586	Vaud	VD	22	1
1011	Lausanne	Lausanne (VD)	Lausanne/VD	5586	Vaud	VD	22	1
1012	Lausanne	Lausanne (VD)	Lausanne/VD	5586	Vaud	VD	22	1
1014	Lausanne	Lausanne (VD)	Lausanne/VD	5586	Vaud	VD	22	1
1015	Ecublens (VD)	Ecublens (VD)	Ecublens/VD	5635	Vaud	VD	22	1
1018	Lausanne	Lausanne (VD)	Lausanne/VD	5586	Vaud	VD	22	1
1019	Lausanne	Lausanne (VD)	Lausanne/VD	5586	Vaud	VD	22	1
1020	Renens (VD)	Renens (VD)	Renens/VD	5591	Vaud	VD	22	1
1022	Chavannes-près-Renens	Chavannes-près-Renens (VD)	Chavannes-près-Renens/VD	5627	Vaud	VD	22	1
1023	Crissier	Crissier (VD)	Crissier/VD	5583	Vaud	VD	22	1
1024	Ecublens (VD)	Ecublens (VD)	Ecublens/VD	5635	Vaud	VD	22	1
1025	Saint-Sulpice (VD)	Saint-Sulpice (VD)	Saint-Sulpice/VD	5648	Vaud	VD	22	1
1026	Denges	Denges (VD)	Denges/VD	5632	Vaud	VD	22	1
1026	Echandens	Echandens (VD)	Echandens/VD	5633	Vaud	VD	22	1
1027	Lonay	Lonay (VD)	Lonay/VD	5638	Vaud	VD	22	1
1028	Préverenges	Préverenges (VD)	Préverenges/VD	5643	Vaud	VD	22	1
